	329	69	205	87	33	65	371	413	119	427	215	155	185	1995	5123	1909	4223	2581	737	923	5989	7493	1241	7991	4601	3007	3737	1501
47	0	269.44	156.16	206.9	230.5	250.56	156.16	117.22	74.74	173.86	212.8	392.16	288.32	252.92	0	269.44	156.16	206.9	230.5	250.56	156.16	117.22	74.74	173.86	212.8	392.16	288.32	252.92
23	270.62	0	206.9	106.6	88.9	232.86	349.68	307.2	301.3	380.36	149.08	341.32	179.76	85.36	270.62	0	206.9	106.6	88.9	232.86	349.68	307.2	301.3	380.36	149.08	341.32	179.76	85.36
41	156.16	206.9	0	160.88	167.96	131.38	191.56	149.08	143.18	283.6	117.22	272.98	193.92	179.76	156.16	206.9	0	160.88	167.96	131.38	191.56	149.08	143.18	283.6	117.22	272.98	193.92	179.76
29	206.9	106.6	160.88	0	97.16	232.86	302.48	260	254.1	315.46	150.26	348.5	189.2	114.86	206.9	106.6	160.88	0	97.16	232.86	302.48	260	254.1	315.46	150.26	348.5	189.2	114.86
11	308	108.08	218.96	118.16	0	234.08	422.24	361.76	353.36	491.12	119.84	435.68	173.6	62.72	308	108.08	218.96	118.16	0	234.08	422.24	361.76	353.36	491.12	119.84	435.68	173.6	62.72
13	250.56	229.32	129.02	230.5	175.04	0	277.7	235.22	229.32	378	126.66	180.32	156.16	175.04	250.56	229.32	129.02	230.5	175.04	0	277.7	235.22	229.32	378	126.66	180.32	156.16	175.04
53	162.06	348.5	186.84	303.66	313.1	277.7	0	120.76	106.6	175.04	274.16	418.12	348.5	336.7	162.06	348.5	186.84	303.66	313.1	277.7	0	120.76	106.6	175.04	274.16	418.12	348.5	336.7
59	118.4	297.76	146.72	262.36	269.44	236.4	114.86	0	77.1	241.12	232.86	378	307.2	295.4	118.4	297.76	146.72	262.36	269.44	236.4	114.86	0	77.1	241.12	232.86	378	307.2	295.4
17	74.74	300.12	138.46	254.1	261.18	228.14	101.88	75.92	0	217.52	224.6	369.74	301.3	287.14	74.74	300.12	138.46	254.1	261.18	228.14	101.88	75.92	0	217.52	224.6	369.74	301.3	287.14
61	173.86	369.74	284.78	315.46	359.12	378	156.16	239.94	217.52	0	340.24	499.54	406.32	380.36	173.86	369.74	284.78	315.46	359.12	378	156.16	239.94	217.52	0	340.24	499.54	406.32	380.36
43	211.62	127.84	117.22	149.08	98.34	125.48	260	231.68	225.78	329.62	0	267.08	117.22	105.42	211.62	127.84	117.22	149.08	98.34	125.48	260	231.68	225.78	329.62	0	267.08	117.22	105.42
31	370.92	311.92	264.72	337.88	319	183.3	406.32	376.82	354.4	501.9	268.26	0	213.98	290.68	370.92	311.92	264.72	337.88	319	183.3	406.32	376.82	354.4	501.9	268.26	0	213.98	290.68
37	288.32	180.94	192.74	186.84	131.38	158.52	335.52	307.2	301.3	403.96	116.04	213.98	0	129.02	288.32	180.94	192.74	186.84	131.38	158.52	335.52	307.2	301.3	403.96	116.04	213.98	0	129.02
19	362.88	112.56	246.96	154.56	73.92	243.6	441.84	409.92	401.52	544.32	141.12	404.88	174.72	0	362.88	112.56	246.96	154.56	73.92	243.6	441.84	409.92	401.52	544.32	141.12	404.88	174.72	0
